,mapping,epap,user,meaning
0,False,False,p,False
1,True,True,"Merge ""task B"" and ""task E"" into one task called ""task B & E"".","The modification means that the separate tasks ""task B"" and ""task E"" will be combined into a single task named ""task B & E""."
2,True,False,combine the task B and E into one,NA.
3,True,True,"task B and task E should be summarized to task B & E, while remaining on their branch","The modification means that task B and task E, which are currently separate tasks on their branch, should be combined into a single task named ""Task B & E"" while keeping their position on the same branch in the process model."
4,True,False,"In the new model, the system executes tasks B and E simultaneously.","The modification means that tasks B and E, which were previously executed sequentially, will now be performed concurrently in the new model."
5,True,True,Consolidate the two individual modules task B and task E into one combined module of task B and task E.,The modification means that the separate tasks B and E will now be combined into a single task that includes both B and E.
6,True,True,Join tasks B and E together,NA
7,True,True,Merge task B and task E into one single task called 'task B & E'. The rest stays the same.,The modification means that the activities represented by task B and task E will now be combined into a single activity named 'task B & E'.
8,True,True,Merge task B and task E into task B&E,The modification means that the separate tasks B and E will be combined into a single new task named B&E.
9,True,False,Combine task B and Task E. Task b and e should be done together and not separately so merge those two,"The modification means that Task B and Task E, which were previously executed sequentially, should now be performed in parallel."
10,True,True,group task b and e into one task called task B & E,"The tasks ""b"" and ""e"" will be combined into a single task named ""Task B & E""."
11,True,True,"Instead of task B and task E being separately notated in the flow, group them into one group called task B& E. After task B&E, move forward to X similarly to the previous structure. ","The modification means that the separate tasks B and E will now be combined into a single task named ""B&E"". After completing task ""B&E"", the process will proceed to task X, following the same sequence as before."
12,False,False,summarize task b and task e into single task b&e,False
13,True,True,merge tasks B and E into one singel task,The modification means that the separate tasks B and E will be combined into a single task within the process model.
14,False,False,Please summarize task B and task E in one task task B&E,False
15,False,False,same as above vice versa ,False
16,True,True,sum up Task B and E into one task,The modification means that Task B and Task E will be combined into a single task.
17,True,False,"Remove 'task E' and its edges. Replace  ''task B"" with 'task B & E' . ","The modification means: ""Remove 'task E' and its connecting edges from the process. Replace 'task B' with a new task labeled 'task B & E'."""
18,True,False,Jokn task B and task E,NA
19,False,False,please summarize task B and task E into one task named: task B & E,False
20,True,False,replace sequence of task B and task E by task with label task B & E,"The sequence of Task B and Task E is replaced by a single task labeled ""Task B & E""."
21,True,True,please merge task B and task E into one task under the name of task B & E.,"The modification means that the activities represented by task B and task E will be combined into a single activity named ""task B & E""."
22,True,True,divide task B & E into one task. ,NA.
23,False,False,Not sure,False
24,False,False,.,False
25,True,True,Abstract task B and E into task B & E. ,"The modification means that the separate tasks B and E will be combined into a single task named ""B & E""."
26,True,False,"Replace ""task B"" and ""task E"" with a new task called ""task B & E""","The modification means: Remove the tasks ""task B"" and ""task E"" from the process model and add a new task labeled ""task B & E"" in their place."
27,True,True,merge the tasks B and E into a single taskk called 'task B & E',"The tasks ""B"" and ""E"" will be combined into a single task named ""Task B & E""."
28,True,False,combine task B and task E to one task B & E,NA
29,True,False,"Combine task B and E to one task called ""task B & E"".",NA
30,True,True,Task B and Task E should be summarized as one task B & E,"The tasks ""Task B"" and ""Task E"" will be combined into a single task named ""Task B & E""."
31,True,True,"Merge ""task B"" and ""task B"" into on task called ""task B & E"".",NA
32,True,True,Merge tasks B and E into one task labeled B & E.,"The modification means that the separate tasks B and E will be combined into a single task named ""B & E""."
33,True,True,Merge Task B and Task E into Task B&E,"The tasks ""Task B"" and ""Task E"" will be combined into a single task named ""Task B&E""."
34,True,False,Combine task B and E into one process,NA
35,True,False,Merge Tasks B and E into one task instead of executing sequentially ,NA
36,True,False,"the task b and e are executed at the same time, not sequentially","The tasks ""b"" and ""e"" will now be performed concurrently, rather than one after the other."
37,False,False,perform task b and e together ,False
38,False,False,I don't know. ,False
39,True,False,replace task b and task E with a new task B & E,"The modification means: Remove tasks ""b"" and ""E"" from the process model and add new tasks ""B"" and ""E"" in their place."
40,True,False,Task B and E are joined together to be executed at the same time if the conditions X is true. ,"The modification means that Task B and Task E, which were previously executed sequentially, will now be performed simultaneously if condition X is true."
41,True,False,reverse the action from the previuos question,NA.
42,True,False,Please execute task B and task E together. ,NA
43,True,False,Combine Task B and E in one,NA.
44,True,True,Merge task B and task E into one task called task B & E ,"The modification means that the separate tasks B and E will be combined into a single task named ""Task B & E""."
45,True,False,Combine task b and task e together as one state ,NA.
46,True,False,Process B and C at the same time,"The modification means that Process B and Process C, which were previously executed sequentially, will now be executed concurrently in parallel."
47,True,True,Merge task B % E to one task,The modification means that the separate tasks B and E will be combined into a single task.
48,True,True,Merge Task b and Task e into one task,The modification means that Task b and Task e will be combined into a single task.
49,True,False,combine task B and task E to one task called task B & E,NA
50,True,True,"combine ""task B"" and ""task E"" into ""task B & E""","The modification means that the separate tasks ""task B"" and ""task E"" will now be combined into a single task named ""task B & E""."
51,True,False,Make task B and task E parallel.,"To make Task B and Task E parallel, they should be positioned within a parallel gateway, allowing both tasks to execute simultaneously rather than sequentially."
52,False,False,rename Task B to Task B&E. Remove task E.,False
53,True,True,join task B and task E into one single task B&E,The modification means that the separate tasks B and E will now be combined into a single task named B&E.
54,True,True,Merge task B and task E in one task called task B & E. And replace task B and task E with the new merged task.,"The modification means that tasks B and E will be combined into a single task named ""Task B & E,"" and this new task will replace the original tasks B and E in the process model."
55,True,True,Merge task B and task E in the true branch into a single composite task labeled 'task B & E'.,"The modification means that task B and task E, which are currently separate tasks in the true branch of the process, will be combined into a single composite task named 'task B & E'."
56,True,True,Change the sequence taskB then task E to combination task B&E,"The tasks ""taskB"" and ""taskE,"" which were previously separate, have been combined into a single task named ""taskB&E."""
57,True,True,Combine Tasks B and E into one Task B & E,"The tasks ""B"" and ""E"" will now be represented as a single task named ""B & E""."
58,False,False,Task b and e are summarized together. ,False
59,True,True,"Merge ""task B"" and ""task E"" into one called ""task B &E"".","The modification means that the separate tasks ""task B"" and ""task E"" will be combined into a single task named ""task B & E""."
60,True,False,Combine task B and task E into task B&E,NA.
61,True,False,do task b and task e as one step,NA.
62,True,False,Add task B & E after Task E. Remove Task B. Remove Task E.,NA.
63,True,False,"Delete task E. Rename task B to task B&E. (Again, from POV of execution joining makes no sense).",NA
